"","MSZoning","Neighborhood","BldgType","HouseStyle","OverallQual","YearBuilt","YearRemodAdd","ExterQual","ExterCond","HeatingQC","CentralAir","X1stFlrSF","GrLivArea","FullBath","KitchenQual","GarageCars","SaleCondition","SalePrice","NHood","MSZone","BType","HStyle","SCond","KQual","ExQual","Cair","HQC","ECond","SalePrice.log","X1stFlrSF.log","GrLivArea.log"
"320","RL","NWAmes","1Fam","SLvl",7,1980,1980,"TA","TA","TA","Y",1472,1472,2,"TA",2,"Normal",187500,4,4,3,3,5,2,2,1,3,3,12.1415341243926,7.29437729928882,7.29437729928882
"321","RL","NridgHt","1Fam","2Story",9,2006,2006,"TA","TA","Ex","Y",1249,2596,3,"Gd",3,"Partial",342643,6,4,3,4,6,3,2,1,5,3,12.7444443677961,7.13009851012558,7.86172707782398
"322","RL","NridgHt","1Fam","2Story",8,2004,2004,"Gd","TA","Ex","Y",1136,2468,2,"Gd",3,"Normal",354000,6,4,3,4,5,3,3,1,5,3,12.7770521921159,7.0352685992811,7.81116338502528
"323","RL","SawyerW","1Fam","2Story",7,1986,1987,"Gd","TA","Ex","Y",1553,2730,2,"Gd",2,"Normal",301000,4,4,3,4,5,3,3,1,5,3,12.614865543731,7.34794382314869,7.91205688817901
"324","RM","OldTown","1Fam","1Story",3,1955,2005,"TA","Gd","Ex","Y",1163,1163,1,"TA",1,"Normal",126175,2,2,3,3,5,2,2,1,5,4,11.7454251112085,7.05875815251866,7.05875815251866
"325","RL","NAmes","1Fam","SLvl",7,1967,2007,"Gd","Gd","Ex","Y",1898,2978,2,"Gd",2,"Normal",242000,3,4,3,3,5,3,3,1,5,4,12.3966930051388,7.54855597916987,7.99900721324395
"326","RM","IDOTRR","1Fam","1.5Unf",5,1941,1950,"TA","TA","Po","N",803,803,1,"TA",2,"Normal",87000,1,2,3,1,5,2,2,0,1,3,11.3736633976367,6.68835471394676,6.68835471394676
"327","RL","Veenker","TwnhsE","1Story",8,1993,1993,"Gd","TA","Ex","Y",1719,1719,1,"Gd",2,"Normal",324000,5,4,3,3,5,3,3,1,5,3,12.6884987947745,7.44949800538285,7.44949800538285
"328","RL","NAmes","1Fam","1Story",6,1960,1960,"TA","TA","TA","Y",1383,1383,1,"TA",1,"Normal",145250,3,4,3,3,5,2,2,1,3,3,11.8862116747142,7.23201033166476,7.23201033166476
"329","RL","BrkSide","1Fam","2.5Unf",6,1916,1994,"TA","TA","Gd","N",1445,2134,2,"Gd",2,"Normal",214500,2,4,3,2,5,3,2,0,4,3,12.2760650173502,7.27586460054653,7.6657534318617
"330","RM","IDOTRR","1Fam","2Story",5,1920,1950,"TA","TA","TA","N",596,1192,1,"TA",1,"Normal",78000,1,2,3,4,5,2,2,0,3,3,11.2644641056717,6.39024066706535,7.0833878476253
"331","RL","NAmes","Duplex","1Story",5,1964,1964,"TA","TA","TA","Y",1728,1728,2,"TA",1,"Normal",119000,3,4,2,3,5,2,2,1,3,3,11.6868787720937,7.454719949364,7.454719949364
"332","RL","NAmes","1Fam","1Story",5,1958,1992,"TA","TA","Fa","Y",1056,1056,1,"TA",1,"Normal",139000,3,4,3,3,5,2,2,1,2,3,11.8422292121128,6.96224346426621,6.96224346426621
"333","RL","NridgHt","1Fam","1Story",8,2003,2004,"Gd","TA","Ex","Y",1629,1629,2,"Gd",3,"Normal",284000,6,4,3,3,5,3,3,1,5,3,12.5567295171433,7.39572160860205,7.39572160860205
"334","RM","NridgHt","TwnhsE","1Story",7,2004,2004,"Gd","TA","Ex","Y",1358,1358,2,"Gd",2,"Normal",207000,6,2,3,3,5,3,3,1,5,3,12.2404740722475,7.21376830811864,7.21376830811864
"335","RL","Gilbert","1Fam","2Story",6,1998,1998,"TA","TA","Gd","Y",943,1638,2,"TA",2,"Normal",192000,4,4,3,4,5,2,2,1,4,3,12.1652506510099,6.84906628263346,7.40123126441302
"336","RL","Timber","2fmCon","1.5Fin",5,1965,1965,"TA","TA","Ex","Y",1619,1786,2,"TA",2,"Normal",228950,5,4,1,2,5,2,2,1,5,3,12.3412589180852,7.38956395367764,7.48773376143644
"337","RL","StoneBr","1Fam","1Story",9,2005,2006,"Gd","TA","Ex","Y",1922,1922,2,"Gd",3,"Normal",377426,6,4,3,3,5,3,3,1,5,3,12.8411298019654,7.56112158953024,7.56112158953024
"338","RL","CollgCr","1Fam","1Story",7,2002,2003,"Gd","TA","Ex","Y",1536,1536,2,"Gd",2,"Normal",214000,4,4,3,3,5,3,3,1,5,3,12.273731294004,7.33693691370762,7.33693691370762
"339","RL","NWAmes","1Fam","1Story",7,1984,1998,"Gd","TA","Ex","Y",1621,1621,2,"Gd",2,"Normal",202500,4,4,3,3,5,3,3,1,5,3,12.2184951655287,7.39079852173568,7.39079852173568
"340","RL","NAmes","1Fam","1Story",6,1958,1998,"TA","TA","TA","Y",1215,1215,1,"TA",1,"Normal",155000,3,4,3,3,5,2,2,1,3,3,11.9511803959014,7.10249935577465,7.10249935577465
"341","RL","Timber","1Fam","2Story",8,2002,2002,"Gd","TA","Ex","Y",993,1908,2,"Gd",2,"Normal",202900,5,4,3,4,5,3,3,1,5,3,12.2204685258139,6.90073066404517,7.55381085200823
"342","RH","SawyerW","1Fam","1Story",4,1950,1950,"Fa","Fa","Gd","Y",841,841,1,"TA",1,"Normal",82000,4,3,3,3,5,2,1,1,4,2,11.3144745262464,6.73459165997295,6.73459165997295
"343","RL","NAmes","Duplex","1Story",3,1949,1950,"TA","TA","Fa","N",1040,1040,2,"TA",2,"Normal",87500,3,4,2,3,5,2,2,0,2,3,11.3793940723457,6.94697599213542,6.94697599213542
"344","RL","NridgHt","TwnhsE","1Story",9,2005,2005,"Ex","TA","Ex","Y",1684,1684,2,"Ex",2,"Normal",266000,6,4,3,3,5,4,4,1,5,3,12.4912515877638,7.42892719480227,7.42892719480227
"345","RM","MeadowV","TwnhsE","2Story",5,1976,1976,"TA","TA","TA","Y",536,1112,1,"TA",1,"Normal",85000,1,2,3,4,5,2,2,1,3,3,11.3504065354725,6.2841341610708,7.01391547481053
"346","RL","BrkSide","1Fam","1.5Fin",6,1939,1950,"TA","TA","Gd","Y",972,1577,1,"Fa",1,"Normal",140200,2,4,3,2,5,1,2,1,4,3,11.8508252535826,6.87935580446044,7.36327958696304
"347","RL","NAmes","1Fam","1Story",6,1960,1998,"TA","Gd","TA","Y",958,958,1,"TA",1,"Normal",151500,3,4,3,3,5,2,2,1,3,4,11.9283409039316,6.86484777797086,6.86484777797086
"348","RL","NAmes","1Fam","1Story",6,1960,1960,"TA","TA","Ex","Y",1478,1478,2,"TA",2,"Normal",157500,3,4,3,3,5,2,2,1,5,3,11.9671807372478,7.29844510150815,7.29844510150815
"349","RL","NridgHt","Twnhs","2Story",7,2003,2004,"Gd","TA","Ex","Y",764,1626,2,"Gd",2,"Normal",154000,6,4,2,4,5,3,3,1,5,3,11.9447078813958,6.63856778916652,7.39387829010776
"350","RL","NridgHt","1Fam","2Story",9,2005,2006,"Ex","TA","Ex","Y",1848,2728,2,"Ex",3,"Partial",437154,6,4,3,4,6,4,4,1,5,3,12.9880408147445,7.52185925220163,7.91132401896335
"351","RL","NridgHt","TwnhsE","1Story",9,2007,2007,"Ex","TA","Ex","Y",1869,1869,2,"Ex",2,"Partial",318061,6,4,3,3,6,4,4,1,5,3,12.6699984672658,7.53315880745556,7.53315880745556
"352","RL","ClearCr","1Fam","1Story",7,1986,1986,"TA","TA","Gd","Y",1453,1453,1,"Gd",2,"Abnorml",190000,4,4,3,3,5,3,2,1,4,3,12.1547793511426,7.28138566357028,7.28138566357028
"353","RL","Edwards","1Fam","1.5Fin",5,1941,1950,"TA","TA","TA","N",616,1111,1,"TA",1,"Normal",95000,2,4,3,2,5,2,2,0,3,3,11.4616321705827,6.42324696353352,7.01301578963963
"354","RM","OldTown","1Fam","1Story",6,1928,2003,"TA","Gd","Gd","Y",720,720,1,"TA",2,"Normal",105900,2,2,3,3,5,2,2,1,4,4,11.5702505315895,6.5792512120101,6.5792512120101
"355","RL","SWISU","1Fam","1.5Fin",6,1940,2000,"TA","TA","Ex","Y",1192,1595,1,"TA",1,"Normal",140000,3,4,3,2,5,2,2,1,5,3,11.8493977015914,7.0833878476253,7.37462901521894
"356","RL","CollgCr","1Fam","1Story",6,1995,1995,"Gd","Gd","Ex","Y",1200,1200,2,"Gd",2,"Normal",177500,4,4,3,3,5,3,3,1,5,4,12.0867258878976,7.09007683577609,7.09007683577609
"357","RL","Gilbert","1Fam","1Story",6,1992,1992,"TA","TA","Gd","Y",1167,1167,2,"Gd",2,"Normal",173000,4,4,3,3,5,3,2,1,4,3,12.0610468734799,7.06219163228656,7.06219163228656
"358","RM","MeadowV","TwnhsE","1Story",5,1976,1976,"TA","TA","TA","Y",1142,1142,1,"TA",2,"Normal",134000,1,2,3,3,5,2,2,1,3,3,11.805595078933,7.04053639021596,7.04053639021596
"359","RL","ClearCr","1Fam","SLvl",5,1958,1958,"TA","TA","Ex","Y",1352,1352,1,"Gd",1,"Abnorml",130000,4,4,3,3,5,3,2,1,5,3,11.7752897294377,7.20934025660291,7.20934025660291
"360","RL","NoRidge","1Fam","2Story",8,1998,1998,"Gd","TA","Ex","Y",1086,1924,2,"Gd",2,"Normal",280000,6,4,3,4,5,3,3,1,5,3,12.5425448821514,6.99025650049388,7.56216163122565
"361","RL","Mitchel","1Fam","SFoyer",6,1978,1978,"TA","TA","Ex","Y",912,912,1,"TA",2,"Normal",156000,3,4,3,2,5,2,2,1,5,3,11.9576112862317,6.81563999007433,6.81563999007433
"362","RL","BrkSide","1Fam","1.5Fin",5,1940,1982,"TA","TA","Gd","Y",988,1505,1,"TA",1,"Normal",145000,2,4,3,2,5,2,2,1,4,3,11.8844890214027,6.89568269774787,7.31654817718298
"363","RL","Edwards","1Fam","SFoyer",7,2003,2003,"Gd","TA","Ex","Y",495,1922,3,"Gd",2,"Normal",198500,2,4,3,2,5,3,3,1,5,3,12.1985443791094,6.20455776256869,7.56112158953024
"364","RM","BrDale","Twnhs","2Story",6,1972,2007,"TA","TA","Gd","Y",483,987,1,"Gd",1,"Normal",118000,1,2,2,4,5,3,2,1,4,3,11.6784399034478,6.18001665365257,6.89467003943348
"365","RL","NWAmes","1Fam","2Story",6,1976,1976,"TA","TA","TA","Y",790,1574,2,"TA",2,"Normal",190000,4,4,3,4,5,2,2,1,3,3,12.1547793511426,6.67203294546107,7.36137542897735
"366","RM","IDOTRR","1Fam","2Story",5,1920,1997,"TA","Gd","Gd","Y",672,1344,1,"TA",1,"Normal",147000,1,2,3,4,5,2,2,1,4,4,11.8981878657609,6.51025834052315,7.20340552108309
"367","RL","NAmes","1Fam","1Story",6,1963,1963,"TA","TA","Gd","Y",1394,1394,1,"TA",2,"Normal",159000,3,4,3,3,5,2,2,1,4,3,11.9766594812024,7.23993259132047,7.23993259132047
"368","RL","NAmes","1Fam","SLvl",6,1962,1962,"TA","TA","Gd","Y",1431,1431,1,"TA",1,"Normal",165000,3,4,3,3,5,2,2,1,4,3,12.0137007528827,7.26612877955645,7.26612877955645
"369","RL","NAmes","1Fam","1Story",5,1954,1954,"TA","TA","Gd","Y",1268,1268,1,"TA",1,"Normal",132000,3,4,3,3,5,2,2,1,4,3,11.7905572015685,7.14519613499717,7.14519613499717
"370","RL","NAmes","1Fam","1Story",5,1959,2006,"TA","Gd","Ex","Y",1287,1287,1,"Gd",2,"Normal",162000,3,4,3,3,5,3,2,1,5,4,11.9953516142145,7.16006920759613,7.16006920759613
"371","RL","Gilbert","1Fam","2Story",6,2000,2000,"TA","TA","Ex","Y",953,1664,2,"TA",2,"Normal",172400,4,4,3,4,5,2,2,1,5,3,12.0575726372117,6.8596149036542,7.41697962138115
"372","RL","ClearCr","1Fam","1.5Fin",4,1959,1959,"TA","TA","TA","Y",1120,1588,2,"TA",2,"Normal",134432,4,4,3,2,5,2,2,1,3,3,11.8088137739691,7.02108396428914,7.37023064180708
"373","RL","SawyerW","TwnhsE","1Story",6,1984,1984,"TA","TA","TA","Y",752,752,1,"TA",1,"Normal",125000,4,4,3,3,5,2,2,1,3,3,11.7360690162844,6.62273632394984,6.62273632394984
"374","RL","NAmes","1Fam","1Story",5,1953,1953,"TA","TA","TA","Y",1319,1319,1,"TA",1,"Normal",123000,3,4,3,3,5,2,2,1,3,3,11.7199396343546,7.18462915271731,7.18462915271731
"375","RL","CollgCr","1Fam","2Story",7,2003,2004,"Gd","TA","Ex","Y",847,1928,2,"Gd",2,"Normal",219500,4,4,3,4,5,3,3,1,5,3,12.2991075114974,6.74170069465205,7.56423847517049
"377","RL","CollgCr","1Fam","SFoyer",5,1996,1996,"Gd","TA","Ex","Y",914,914,1,"TA",2,"Normal",148000,4,4,3,2,5,2,3,1,5,3,11.9049675527463,6.81783057145415,6.81783057145415
"378","FV","Somerst","1Fam","2Story",8,2004,2005,"Gd","TA","Ex","Y",1580,2466,3,"Gd",2,"Normal",340000,5,5,3,4,5,3,3,1,5,3,12.7367008965923,7.36518012602101,7.81035268372429
"379","RL","StoneBr","1Fam","1Story",9,2010,2010,"Gd","TA","Ex","Y",1856,1856,1,"Ex",3,"Partial",394432,6,4,3,3,6,4,3,1,5,3,12.8852020343219,7.52617891334615,7.52617891334615
"380","RL","Gilbert","1Fam","2Story",6,2000,2000,"TA","TA","Ex","Y",1007,1800,2,"TA",2,"Normal",179000,4,4,3,4,5,2,2,1,5,3,12.0951410848229,6.91473089271856,7.49554194388426
"381","RL","SWISU","1Fam","1.5Fin",5,1924,1950,"TA","TA","TA","Y",1026,1691,2,"Gd",1,"Normal",127000,3,4,3,2,5,3,2,1,3,3,11.7519423654407,6.93342302573071,7.43307534889858
"382","FV","Somerst","1Fam","1Story",7,2006,2006,"Gd","TA","Ex","Y",1301,1301,2,"Gd",2,"Partial",187750,5,5,3,3,6,3,3,1,5,3,12.1428665696264,7.1708884785125,7.1708884785125
"383","RL","CollgCr","1Fam","2Story",7,2006,2006,"Gd","TA","Ex","Y",939,1797,2,"Gd",2,"Normal",213500,4,4,3,4,5,3,3,1,5,3,12.2713921116508,6.84481547920826,7.49387388678356
"384","RH","SawyerW","1Fam","1.5Unf",6,1928,1950,"TA","TA","TA","N",784,784,1,"TA",2,"Normal",76000,4,3,3,1,5,2,2,0,3,3,11.2384886192685,6.66440902035041,6.66440902035041
"385","RL","ClearCr","1Fam","2Story",6,1992,1992,"Gd","TA","Ex","Y",1079,1953,2,"Gd",2,"Normal",240000,4,4,3,4,5,3,3,1,5,3,12.3883942023241,6.98378996525813,7.57712193087668
"386","RL","Blmngtn","TwnhsE","1Story",8,2004,2005,"Gd","TA","Ex","Y",1269,1269,2,"Gd",2,"Normal",192000,4,4,3,3,5,3,3,1,5,3,12.1652506510099,7.14598446771439,7.14598446771439
"387","RL","Edwards","1Fam","1.5Fin",5,1910,1996,"TA","Fa","TA","Y",658,1184,1,"TA",0,"AdjLand",81000,2,4,3,2,1,2,2,1,3,2,11.3022044336546,6.48920493132532,7.07665381544395
"388","RL","Edwards","1Fam","SLvl",6,1976,1976,"TA","TA","Ex","Y",1125,1125,1,"TA",1,"Abnorml",125000,2,4,3,3,5,2,2,1,5,3,11.7360690162844,7.02553831463852,7.02553831463852
"389","RL","CollgCr","1Fam","1Story",7,1999,2000,"Gd","TA","Ex","Y",1479,1479,2,"Gd",2,"Normal",191000,4,4,3,3,5,3,3,1,5,3,12.1600287070288,7.2991214627108,7.2991214627108
"390","RL","NridgHt","1Fam","2Story",10,2007,2008,"Ex","TA","Ex","Y",1742,2332,2,"Ex",3,"Partial",426000,6,4,3,4,6,4,4,1,5,3,12.9621946252515,7.46278915741245,7.75448154747038
"391","RL","Edwards","1Fam","1.5Fin",5,1900,1950,"TA","TA","Ex","Y",961,1367,1,"TA",1,"Normal",119000,2,4,3,2,5,2,2,1,5,3,11.6868787720937,6.86797440897029,7.22037383672395
"392","RL","Mitchel","1Fam","2Story",6,2001,2002,"TA","TA","Ex","Y",804,1961,2,"Gd",2,"Normal",215000,3,4,3,4,5,3,2,1,5,3,12.2783933071098,6.68959926917897,7.58120982619635
"393","RL","NAmes","1Fam","1Story",5,1959,1959,"TA","TA","TA","Y",882,882,1,"TA",1,"Normal",106500,3,4,3,3,5,2,2,1,3,3,11.5759002641316,6.78219205600679,6.78219205600679
"394","RL","BrkSide","1Fam","1Story",4,1941,1950,"TA","TA","TA","Y",788,788,1,"TA",0,"Abnorml",100000,2,4,3,3,5,2,2,1,3,3,11.5129254649702,6.66949808985788,6.66949808985788
"395","RL","OldTown","1Fam","1.5Fin",5,1940,1950,"TA","TA","Gd","Y",735,1034,1,"TA",1,"Normal",109000,2,4,3,2,5,2,2,1,4,3,11.5991031612113,6.59987049921284,6.94119005506837
"396","RL","Edwards","1Fam","1Story",5,1956,1956,"TA","TA","TA","Y",1144,1144,1,"TA",1,"Normal",129000,2,4,3,3,5,2,2,1,3,3,11.7675676833438,7.04228617193974,7.04228617193974
"397","RL","CollgCr","1Fam","1Story",5,1972,1972,"TA","TA","TA","Y",894,894,1,"TA",2,"Normal",123000,4,4,3,3,5,2,2,1,3,3,11.7199396343546,6.79570577517351,6.79570577517351
"398","RL","NAmes","1Fam","2Story",5,1962,1962,"TA","TA","TA","Y",876,1812,2,"TA",1,"Normal",169500,3,4,3,4,5,2,2,1,3,3,12.0406082058026,6.77536609093639,7.50218648660292
"399","RM","IDOTRR","1Fam","1Story",5,1920,1950,"TA","Fa","Gd","Y",1077,1077,1,"TA",1,"Abnorml",67000,1,2,3,3,5,2,2,1,4,2,11.1124478983731,6.98193467715639,6.98193467715639
"400","FV","Somerst","1Fam","2Story",7,2006,2007,"Gd","TA","Ex","Y",1112,1550,2,"Gd",2,"Normal",241000,5,5,3,4,5,3,3,1,5,3,12.3925522124728,7.01391547481053,7.34601020991329
"401","RL","Veenker","TwnhsE","1Story",8,1996,1996,"Gd","TA","Ex","Y",1288,1288,1,"Ex",2,"Normal",245500,5,4,3,3,5,4,3,1,5,3,12.4110522262167,7.1608459066643,7.1608459066643
"402","RL","CollgCr","1Fam","1Story",7,2005,2005,"Gd","TA","Ex","Y",1310,1310,2,"Gd",2,"Partial",164990,4,4,3,3,6,3,3,1,5,3,12.0136401449855,7.1777824161952,7.1777824161952
"403","RL","Sawyer","1Fam","1Story",5,1940,1997,"TA","TA","Ex","Y",672,672,1,"TA",1,"Normal",108000,3,4,3,3,5,2,2,1,5,3,11.5898865061064,6.51025834052315,6.51025834052315
"404","RL","NoRidge","1Fam","2Story",8,1998,1998,"Gd","TA","Gd","Y",1165,2263,2,"Gd",2,"Abnorml",258000,6,4,3,4,5,3,3,1,4,3,12.4607148639038,7.0604763659998,7.72444664563354
"405","RL","Gilbert","1Fam","2Story",6,1995,1996,"TA","TA","Gd","Y",806,1572,2,"TA",2,"Normal",168000,4,4,3,4,5,2,2,1,4,3,12.0317192583854,6.69208374250663,7.36010397298915
"406","RL","Sawyer","1Fam","1Story",4,1976,1993,"TA","TA","Ex","Y",1620,1620,2,"TA",2,"Normal",150000,3,4,3,3,5,2,2,1,5,3,11.9183905730784,7.39018142822643,7.39018142822643
"407","RL","SWISU","1Fam","1.5Fin",6,1936,1950,"TA","TA","Ex","Y",1166,1639,1,"TA",1,"Normal",115000,3,4,3,2,5,2,2,1,5,3,11.6526874073454,7.06133436691044,7.40184157874383
"408","RL","Crawfor","1Fam","2Story",6,1915,1976,"TA","TA","Ex","Y",840,1680,2,"TA",1,"Normal",177000,4,4,3,4,5,2,2,1,5,3,12.083905011556,6.73340189183736,7.4265490723973
"409","RL","NridgHt","1Fam","2Story",7,2006,2006,"Gd","TA","Ex","Y",1071,2172,2,"Gd",3,"Partial",280000,6,4,3,4,6,3,3,1,5,3,12.5425448821514,6.97634807044775,7.68340368105383
"410","FV","Somerst","1Fam","2Story",8,2007,2008,"Gd","TA","Ex","Y",1050,2078,2,"Ex",3,"Partial",339750,5,5,3,4,6,4,3,1,5,3,12.7359653320134,6.95654544315157,7.63916117165917
"411","RL","Edwards","1Fam","1Story",5,1958,1958,"TA","Fa","TA","Y",1276,1276,1,"TA",1,"Abnorml",60000,2,4,3,3,5,2,2,1,3,2,11.0020998412042,7.15148546390474,7.15148546390474
"412","RL","Gilbert","2fmCon","1Story",5,1955,1955,"TA","TA","TA","N",1056,1056,1,"TA",2,"Normal",145000,4,4,1,3,5,2,2,0,3,3,11.8844890214027,6.96224346426621,6.96224346426621
"413","FV","Somerst","1Fam","1Story",7,2009,2009,"Ex","TA","Ex","Y",1478,1478,2,"Gd",2,"Partial",222000,5,5,3,3,6,3,4,1,5,3,12.3104326608544,7.29844510150815,7.29844510150815
"414","RM","OldTown","1Fam","1Story",5,1927,1950,"TA","TA","Gd","Y",1028,1028,1,"TA",2,"Normal",115000,2,2,3,3,5,2,2,1,4,3,11.6526874073454,6.93537044601511,6.93537044601511
"415","RL","SawyerW","1Fam","2Story",7,1993,1993,"Gd","TA","Ex","Y",1080,2097,2,"Gd",3,"Normal",228000,4,4,3,4,5,3,3,1,5,3,12.3371009079366,6.98471632011827,7.64826303090192
"416","RL","Gilbert","1Fam","1Story",7,2007,2007,"Gd","TA","Ex","Y",1340,1340,2,"Gd",2,"Partial",181134,4,4,3,3,6,3,3,1,5,3,12.1069923678295,7.20042489294496,7.20042489294496
"417","RL","Sawyer","1Fam","2Story",6,1978,1978,"TA","TA","TA","Y",672,1400,1,"TA",2,"Normal",149500,3,4,3,4,5,2,2,1,3,3,11.9150516718129,6.51025834052315,7.24422751560335
"418","RL","Crawfor","1Fam","2Story",6,1918,1950,"TA","TA","TA","N",1370,2624,2,"TA",3,"Normal",239000,4,4,3,4,5,2,2,0,3,3,12.3842188309136,7.22256601882217,7.87245515006398
"419","RL","Edwards","1Fam","1.5Fin",5,1940,1950,"TA","TA","Fa","N",756,1134,1,"TA",1,"AdjLand",126000,2,4,3,2,1,2,2,0,2,3,11.7440371859336,6.62804137617953,7.0335064842877
"420","RL","NAmes","1Fam","1Story",5,1968,1968,"TA","TA","Ex","Y",1056,1056,1,"TA",1,"Normal",142000,3,4,3,3,5,2,2,1,5,3,11.8635823365834,6.96224346426621,6.96224346426621
"421","RM","Mitchel","Duplex","SFoyer",7,1997,1998,"TA","Gd","Ex","Y",1344,1344,2,"TA",4,"Alloca",206300,3,2,2,2,4,2,2,1,5,4,12.2370866990593,7.20340552108309,7.20340552108309
"422","RL","NWAmes","1Fam","1Story",6,1977,2000,"Gd","TA","Gd","Y",1602,1602,2,"Gd",2,"Normal",215000,4,4,3,3,5,3,3,1,4,3,12.2783933071098,7.3790081276283,7.3790081276283
"423","RL","Mitchel","1Fam","1Story",5,1954,1954,"TA","TA","Ex","Y",988,988,1,"TA",2,"Normal",113000,3,4,3,3,5,2,2,1,5,3,11.6351430976945,6.89568269774787,6.89568269774787
"424","RL","NoRidge","1Fam","2Story",8,1998,1998,"Gd","TA","Gd","Y",1470,2630,2,"Gd",3,"Normal",315000,6,4,3,4,5,3,3,1,4,3,12.6603279178078,7.29301767977278,7.87473912517181
"425","RL","NAmes","1Fam","1Story",6,1956,1956,"TA","TA","Gd","Y",1196,1196,1,"TA",1,"Normal",139000,3,4,3,3,5,2,2,1,4,3,11.8422292121128,7.08673793451058,7.08673793451058
"426","RM","OldTown","1Fam","2Story",7,1946,1992,"TA","Gd","Gd","Y",707,1389,1,"TA",1,"Normal",135000,2,2,3,4,5,2,2,1,4,4,11.8130300574206,6.56103066589657,7.23633934275434
"427","RL","SawyerW","1Fam","SLvl",7,1989,1989,"Gd","TA","Gd","Y",1644,1644,2,"Gd",2,"Normal",275000,4,4,3,3,5,3,3,1,4,3,12.5245263766487,7.40488757561612,7.40488757561612
"428","RL","NAmes","1Fam","1Story",4,1957,1957,"TA","TA","Ex","Y",907,907,1,"TA",1,"Normal",109008,3,4,3,3,5,2,2,1,5,3,11.5991765530135,6.81014245011514,6.81014245011514
"429","RL","CollgCr","1Fam","1Story",7,2007,2007,"Gd","TA","Ex","Y",1208,1208,2,"Gd",2,"Partial",195400,4,4,3,3,6,3,3,1,5,3,12.1828040185908,7.09672137849476,7.09672137849476
"430","RL","Timber","1Fam","1Story",6,1988,1988,"TA","TA","TA","Y",1412,1412,2,"Gd",2,"Normal",175000,5,4,3,3,5,3,2,1,3,3,12.0725412529057,7.25276241805319,7.25276241805319
"431","RM","BrDale","Twnhs","2Story",6,1971,1971,"TA","TA","TA","Y",483,987,1,"TA",1,"Abnorml",85400,1,2,2,4,5,2,2,1,3,3,11.3551013797767,6.18001665365257,6.89467003943348
"432","RM","OldTown","1Fam","1.5Fin",6,1920,1998,"TA","TA","Gd","Y",1088,1198,1,"TA",0,"Abnorml",79900,2,2,3,2,5,2,2,1,4,3,11.2885311317544,6.99209642741589,7.08840877867539
"433","RM","BrDale","TwnhsE","2Story",5,1971,1971,"TA","TA","Ex","Y",765,1365,1,"TA",2,"Normal",122500,1,2,3,4,5,2,2,1,5,3,11.7158663089669,6.63987583382654,7.21890970761906
"434","RL","Gilbert","1Fam","2Story",6,1997,1998,"TA","TA","Ex","Y",926,1604,2,"TA",2,"Normal",181000,4,4,3,4,5,2,2,1,5,3,12.106252310248,6.83087423464618,7.38025578842646
"435","RM","MeadowV","Twnhs","SFoyer",4,1972,1972,"TA","Gd","Gd","Y",630,630,1,"TA",0,"Normal",81000,1,2,2,2,5,2,2,1,4,4,11.3022044336546,6.44571981938558,6.44571981938558
"436","RL","CollgCr","1Fam","2Story",7,1996,1996,"Gd","TA","Ex","Y",827,1661,2,"Gd",2,"Normal",212000,4,4,3,4,5,3,3,1,5,3,12.2643415536542,6.71780469502369,7.41517510961329
"437","RM","OldTown","1Fam","1.5Fin",6,1920,1950,"TA","TA","TA","Y",734,1118,1,"TA",2,"Normal",116000,2,2,3,2,5,2,2,1,3,3,11.6613454700885,6.59850902861452,7.01929665371504
"438","RM","BrkSide","1Fam","1.5Unf",6,1926,2004,"Gd","TA","Gd","Y",904,904,1,"TA",1,"Normal",119000,2,2,3,1,5,2,3,1,4,3,11.6868787720937,6.80682936039218,6.80682936039218
"439","RL","Crawfor","1Fam","1Story",5,1913,2002,"TA","TA","TA","N",694,694,1,"Gd",1,"Normal",90350,4,4,3,3,5,3,2,0,3,3,11.4114462960204,6.5424719605068,6.5424719605068
"440","RL","Edwards","1Fam","1.5Fin",6,1920,2000,"TA","TA","Gd","Y",684,1196,1,"Gd",2,"Normal",110000,2,4,3,2,5,3,2,1,4,3,11.6082356447746,6.52795791762255,7.08673793451058
"441","RL","NridgHt","1Fam","1Story",10,2008,2008,"Ex","TA","Ex","Y",2402,2402,2,"Ex",3,"Normal",555000,6,4,3,3,5,4,4,1,5,3,13.2267233927286,7.78405700263993,7.78405700263993
"442","RL","Edwards","Duplex","1Story",4,1955,1955,"TA","TA","TA","N",1440,1440,2,"Fa",0,"Normal",118000,2,4,2,3,5,1,2,0,3,3,11.6784399034478,7.27239839257005,7.27239839257005
"443","RM","BrkSide","1Fam","1.5Fin",5,1930,1992,"TA","TA","TA","Y",1128,1573,2,"TA",2,"Normal",162900,2,2,3,2,5,2,2,1,3,3,12.0008917945901,7.028201432058,7.36073990305828
"444","RL","Blmngtn","TwnhsE","1Story",7,2006,2007,"Gd","TA","Ex","Y",1258,1258,2,"Gd",3,"Partial",172500,4,4,3,3,6,3,3,1,5,3,12.0581525154536,7.13727843726039,7.13727843726039
"445","RL","CollgCr","1Fam","2Story",7,1994,1995,"Gd","Gd","Ex","Y",933,1908,2,"Gd",2,"Normal",210000,4,4,3,4,5,3,3,1,5,4,12.2548628096996,6.83840520084734,7.55381085200823
